iter	Logloss
0	0.6367840439
1	0.5889773751
2	0.5467210311
3	0.5087652729
4	0.4759681745
5	0.4494916379
6	0.4227459245
7	0.4017609489
8	0.3836148921
9	0.3662295814
10	0.3500163317
11	0.3360692546
12	0.3246730828
13	0.3136825314
14	0.3034980161
15	0.2952473908
16	0.288340686
17	0.2809062554
18	0.2756025172
19	0.2701497583
20	0.2649251107
21	0.2599153512
22	0.2554174561
23	0.2512519956
24	0.2477765431
25	0.2446885565
26	0.2416079116
27	0.2395221252
28	0.2370482756
29	0.2349961994
30	0.2330497425
31	0.2308657638
32	0.2290922175
33	0.2271888778
34	0.2255173152
35	0.2241798938
36	0.222974406
37	0.2218271236
38	0.2203173892
39	0.2190966692
40	0.2182512276
41	0.2169283328
42	0.2159132901
43	0.2148888165
44	0.2139316036
45	0.213002066
46	0.2121338575
47	0.2114659836
48	0.210949142
49	0.210179525
50	0.2094161043
51	0.2088036012
52	0.2079698703
53	0.2073364325
54	0.2067760629
55	0.2062769268
56	0.2056648213
57	0.2050951984
58	0.204042558
59	0.2032396891
60	0.2025213896
61	0.2019484352
62	0.2015323842
63	0.2007225429
64	0.2002395352
65	0.1996396654
66	0.1991678719
67	0.1985560212
68	0.1982362731
69	0.1977627501
70	0.1972755926
71	0.1970164123
72	0.1964255851
73	0.1957461734
74	0.1951082062
75	0.1947315355
76	0.1943364907
77	0.1937927053
78	0.1933028384
79	0.1927731734
80	0.1923994325
81	0.1917606923
82	0.1913903415
83	0.1909191459
84	0.1905004491
85	0.1898979123
86	0.1892310659
87	0.1887222037
88	0.1880675203
89	0.1875204435
90	0.1870311047
91	0.1866258305
92	0.1862077549
93	0.1856416611
94	0.1853426454
95	0.1849781749
96	0.1846486254
97	0.1843529222
98	0.1839018763
99	0.1834396405
100	0.182933926
101	0.1823641238
102	0.1818391165
103	0.1815244908
104	0.1810734643
105	0.1807558871
106	0.1802953002
107	0.1799896902
108	0.1795564083
109	0.1793208724
110	0.1790320354
111	0.1786784365
112	0.1781632574
113	0.1777466733
114	0.1774031883
115	0.1770832545
116	0.1767844865
117	0.1762196941
118	0.1759981219
119	0.1755957114
120	0.1753920724
121	0.1750210678
122	0.1747774012
123	0.1745147393
124	0.1741581796
125	0.1738385996
126	0.1734418173
127	0.173180756
128	0.1727753597
129	0.1725227861
130	0.1723050108
131	0.1719405339
132	0.1715606451
133	0.171191904
134	0.1709238001
135	0.1706069633
136	0.1704588391
137	0.1701799965
138	0.1698341435
139	0.1695684678
140	0.1693116507
141	0.1690504751
142	0.16877204
143	0.1685165998
144	0.1682746368
145	0.1680161876
146	0.1677595635
147	0.1675317648
148	0.167211885
149	0.1668705764
