iter	Logloss
150	0.1665558568
151	0.1662817509
152	0.1659942371
153	0.1657308015
154	0.1655155948
155	0.1653564855
156	0.1650048021
157	0.1646528829
158	0.1643934591
159	0.1642067485
160	0.1639343804
161	0.1636776368
162	0.1634223982
163	0.16318484
164	0.162967078
165	0.1627360536
166	0.1624445267
167	0.1621304084
168	0.1618475193
169	0.1615519932
170	0.1614015933
171	0.1611161463
172	0.1609581682
173	0.160702495
174	0.1604648995
175	0.1601663696
176	0.1599919744
177	0.1597387211
178	0.1594369397
179	0.1591598794
180	0.1588791491
181	0.1586852046
182	0.1584478559
183	0.1582392019
184	0.1579788271
185	0.1577585931
186	0.1575096336
187	0.1572031688
188	0.1570947782
189	0.1568789388
190	0.1567093246
191	0.1565449162
192	0.1563008583
193	0.1561394728
194	0.1558268127
195	0.1556463627
196	0.1554355097
197	0.1552237087
198	0.1550167884
199	0.1548698269
200	0.154666372
201	0.1544187366
202	0.1541904696
203	0.1539856294
204	0.1537919361
205	0.1535569594
206	0.1533193254
207	0.1530794467
208	0.1529127952
209	0.1527683156
210	0.1525947628
211	0.1523201778
212	0.1521303282
213	0.152002891
214	0.1518593464
215	0.1516578344
216	0.1514716022
217	0.1513378346
218	0.1511576848
219	0.1508887523
220	0.150702145
221	0.1505131833
222	0.1503412006
223	0.1500984482
224	0.1498722013
225	0.1497781015
226	0.1496526975
227	0.1495099491
228	0.1493643224
229	0.1491629164
230	0.1490106708
231	0.1488206325
232	0.1486146199
233	0.1483896758
234	0.1481922445
235	0.1479788648
236	0.1478062189
237	0.1476281369
238	0.1473845705
239	0.1471740637
240	0.1469378568
241	0.1467136288
242	0.1466043813
243	0.1464229843
244	0.14622007
245	0.1460834904
246	0.1459617849
247	0.1457749485
248	0.145640522
249	0.1454453064
250	0.1452521974
251	0.1450586142
252	0.1448371114
253	0.1446999211
254	0.144594886
255	0.1443810447
256	0.1442280135
257	0.1441336861
258	0.1439239921
259	0.1437830701
260	0.1435989663
261	0.1434190028
262	0.143348061
263	0.1432169336
264	0.1431016201
265	0.142967799
266	0.1427817601
267	0.142612275
268	0.1424138429
269	0.1422550951
270	0.1420840218
271	0.1419314728
272	0.1417135818
273	0.1415409546
274	0.1414141821
275	0.1413002074
276	0.1411145073
277	0.1409431962
278	0.1408255251
279	0.1406616623
280	0.1405624614
281	0.1404063174
282	0.14022377
283	0.1400365493
284	0.1398840662
285	0.1396848313
286	0.139540314
287	0.1394161975
288	0.139331232
289	0.139177225
290	0.1390915259
291	0.1390172745
292	0.1388623253
293	0.1386366402
294	0.1384686529
295	0.1382913888
296	0.1381123785
297	0.1380020153
298	0.1378969376
299	0.1377804562
300	0.1375934987
301	0.1374432872
302	0.1372599127
303	0.1371458232
304	0.1370452659
305	0.1369172572
306	0.1367559517
307	0.1366267704
308	0.1364597514
309	0.1363898327
310	0.1362431566
311	0.1361375479
312	0.1359750739
313	0.1358290293
314	0.1357365291
315	0.1356382225
316	0.1354785378
317	0.1353654157
318	0.1352291997
319	0.1350255611
320	0.1348860944
321	0.1347544374
322	0.1346797719
323	0.1345505346
324	0.1343954166
325	0.1342212031
326	0.1340725425
327	0.1339910298
328	0.1338595019
329	0.133762373
330	0.1336946517
331	0.133586557
332	0.1334196722
333	0.1332883385
334	0.1331179445
335	0.133030523
336	0.1329167741
337	0.1327920544
338	0.1326401832
339	0.1325353214
340	0.1324140295
341	0.1323259763
342	0.1322189914
343	0.1320637705
344	0.1318922077
345	0.1317440917
346	0.1316070316
347	0.1314891095
348	0.1313564035
349	0.1312614095
350	0.1311652936
351	0.1310359168
352	0.1309247667
353	0.1308052183
354	0.1306705173
355	0.1305663793
356	0.1304384694
357	0.1303135189
358	0.1302044453
359	0.1300794347
360	0.1299776782
361	0.1298824831
362	0.1297864376
363	0.1297207858
364	0.1295981383
365	0.1295262659
366	0.129410543
367	0.1293125466
368	0.1292237539
369	0.129102406
370	0.1290190222
371	0.1288966385
372	0.128803908
373	0.1287343273
374	0.1286038289
375	0.1284608122
376	0.1283526767
377	0.1282648697
378	0.1281336646
379	0.1279993914
380	0.1279263153
381	0.127821551
382	0.1277182696
383	0.1275794114
384	0.1274791656
385	0.1273757822
386	0.1272981564
387	0.1271009106
388	0.1269373466
389	0.126871589
390	0.1267979373
391	0.1267430394
392	0.1266170344
393	0.1264809802
394	0.1264011828
395	0.1262680677
396	0.1261747416
397	0.1260862273
398	0.1260023448
399	0.125841598
400	0.1257975419
401	0.1256902576
402	0.1255643712
403	0.1254566303
404	0.1253798036
405	0.1252211907
406	0.1250949322
407	0.1250352561
408	0.1249399379
409	0.1248561694
410	0.1247614479
411	0.1246513833
412	0.1245762329
413	0.124474589
414	0.1243859446
415	0.124282755
416	0.1242245249
417	0.1240715589
418	0.1239776919
419	0.1239048058
420	0.1237762272
421	0.1236783727
422	0.1235753147
423	0.1234517616
424	0.1233249375
425	0.1232193263
426	0.1231282492
427	0.1230058921
428	0.1229158342
429	0.1228666863
430	0.1227639815
431	0.1226400536
432	0.122561211
433	0.1224910953
434	0.1223727457
435	0.122238583
436	0.1221156422
437	0.1219941979
438	0.1219207924
439	0.1218393661
440	0.1217303684
441	0.1216766133
442	0.1215800535
443	0.1214732321
444	0.1214030006
445	0.1213102746
446	0.1212500821
447	0.1212048064
448	0.121076123
449	0.1210137334
450	0.120924648
451	0.1208209612
452	0.120767463
453	0.1206682858
454	0.120579524
455	0.1204976835
456	0.1204476034
457	0.1203859385
458	0.1202957754
459	0.1201866682
460	0.1201268371
461	0.1200076155
462	0.1199387967
463	0.1198535899
464	0.119776827
465	0.1197190634
466	0.1196049246
467	0.1195391309
468	0.1194429697
469	0.1193314161
470	0.1192669526
471	0.1191629259
472	0.1190831846
473	0.1189824905
474	0.1188789496
475	0.1188234274
476	0.1187940774
477	0.1187218163
478	0.1186706254
479	0.1185834359
480	0.1185253858
481	0.1184386964
482	0.1183176918
483	0.1182018453
484	0.1181360834
485	0.118064348
486	0.1180247364
487	0.1179596416
488	0.1178898788
489	0.1178050223
490	0.1177242381
491	0.1176499481
492	0.1175988105
493	0.1175001042
494	0.1173934632
495	0.1172889259
496	0.1172248552
497	0.1171417343
498	0.1170097525
499	0.1169184203
500	0.1168203127
501	0.1167279384
502	0.116635288
503	0.116586239
504	0.1164961221
505	0.1164153697
506	0.1163456315
507	0.1162693505
508	0.116185316
509	0.1160780326
510	0.1160398056
511	0.1159375949
512	0.1158841041
513	0.1158023285
514	0.1157311068
515	0.1156505292
516	0.1155767453
517	0.1155124808
518	0.1154309432
519	0.1153508526
520	0.115304534
521	0.1152068229
522	0.1151305148
523	0.1150089811
524	0.1149204665
525	0.1148047938
526	0.1147351165
527	0.1146563868
528	0.1145802245
529	0.1144763752
530	0.1144139576
531	0.114325795
532	0.1142653161
533	0.1141818928
534	0.1141107758
535	0.1140518133
536	0.1139625297
537	0.1138725855
538	0.1138106299
539	0.1136911124
540	0.1136238531
541	0.1135720393
542	0.1135291347
543	0.1134778686
544	0.1134298237
545	0.1133443907
546	0.1133139852
547	0.1132579526
548	0.1131814956
549	0.1131166362
550	0.1130595158
551	0.1129975208
552	0.1129589926
553	0.1128884016
554	0.1128435924
555	0.1127924062
556	0.1127672401
557	0.1127001745
558	0.1126135813
559	0.11253581
560	0.1124767107
561	0.1124166363
562	0.1123510527
563	0.1123264388
564	0.1122430233
565	0.1122088536
566	0.1121624787
567	0.112088448
568	0.1120312263
569	0.1119621656
570	0.1118809639
571	0.1118183539
572	0.1117418173
573	0.111672458
574	0.1116053163
575	0.1115620053
576	0.111497797
577	0.1114228684
578	0.1113827479
579	0.1113377159
580	0.1112872811
581	0.1112289611
582	0.1111677951
583	0.1111106212
584	0.111057494
585	0.1109785688
586	0.1108991837
587	0.1108198079
588	0.1107743568
589	0.1107017288
590	0.110635111
591	0.1105911433
592	0.1104984649
593	0.110419692
594	0.1103890442
595	0.1103274262
596	0.1102321738
597	0.1101661319
598	0.1100748484
599	0.1100047351
600	0.1099214966
601	0.109856577
602	0.1097850014
603	0.1097222761
604	0.1096690494
605	0.1095958769
606	0.1095384013
607	0.1094600573
608	0.1093845979
609	0.1093555755
610	0.109278425
611	0.1092132931
612	0.1091522896
613	0.1091031144
614	0.1090420067
615	0.10899449
616	0.1089269495
617	0.1088578156
618	0.1087471472
619	0.1087053061
620	0.1086612688
621	0.1085931569
622	0.1085191426
623	0.1084717578
624	0.1083801849
625	0.1083117487
626	0.1082491136
627	0.1081691547
628	0.1080897372
629	0.1080350526
630	0.1079935718
631	0.1079494705
